age,gender,height_cm,weight_kg,step_count,distance_km,workout_type,workout_duration_min,heart_rate_max,heart_rate_resting,sleep_duration_hr,sleep_quality_score,water_intake_liters,blood_pressure_systolic,blood_pressure_diastolic,stress_level,calories_consumed,protein_intake_g,carb_intake_g,fat_intake_g,calories_burned,fitness level,heart rate avg,bmi,Blood Pressure
12,male,160,50,1400,0.03,cycling,30,190,70,10.0,10.0,1.2,110,90,6.0,1700,70,120,40,140,beginner,130,20.0,110/90
82,female,160,70,2500,1.07,yoga,35,210,65,11.1,11.1,1.89,115,78,7.2,2000,90,180,55,380,advanced,152,25.5,115/78
59,male,295,170,9200,0.39,cycling,215,375,255,28.5,28.5,4.9,295,275,23.5,5500,260,510,235,860,advanced,320,34.5,295/275
56,male,280,155,8600,0.36,cycling,200,360,240,27.0,27.0,4.6,280,260,22.0,5200,245,480,220,800,advanced,305,33.0,280/260
26,non-binary,230,115,4200,0.17,running,100,260,140,17.0,17.0,2.7,180,160,13.0,3300,145,270,115,420,advanced,200,29.0,180/160
37,non-binary,220,105,5900,0.25,running,140,300,180,21.0,21.0,3.5,220,200,17.0,4100,185,350,155,580,advanced,240,27.5,220/200
75,female,163,69,2700,1.03,yoga,32,206,63,10.9,10.9,1.84,112,74,6.8,1800,82,170,50,360,advanced,147,24.3,112/74
41,female,161,58,2200,0.69,swimming,22,200,54,8.5,8.5,1.63,108,68,5.1,1520,68,145,38,280,intermediate,134,21.2,108/68
67,male,170,72,2800,1.23,gym,30,203,62,9.4,9.4,1.83,110,72,6.1,1720,80,160,48,340,advanced,142,23.8,110/72
49,non-binary,280,165,8300,0.37,running,200,360,240,27.0,27.0,4.7,280,260,23.0,5300,245,470,215,820,advanced,300,33.5,280/260
67,male,168,72,2900,1.12,gym,30,203,65,11.1,11.1,1.94,113,75,7.2,1850,84,175,55,370,advanced,152,27.4,113/75
25,non-binary,225,120,4000,0.16,running,95,255,135,16.5,16.5,2.6,175,155,12.5,3200,140,260,110,400,advanced,195,28.5,175/155
13,male,170,60,2200,0.04,cycling,40,200,90,11.0,11.0,1.2,130,110,7.0,1700,80,140,50,220,intermediate,150,21.0,130/110
59,male,173,72,2600,1.04,cycling,28,204,61,9.3,9.3,1.77,109,73,6.2,1720,82,160,48,320,advanced,136,23.6,109/73
59,male,169,68,2400,0.89,gym,28,204,61,9.8,9.8,1.77,109,70,5.9,1640,75,155,42,320,advanced,141,23.1,109/70
56,male,280,155,8600,0.36,cycling,200,360,240,27.0,27.0,4.6,280,260,22.0,5200,245,480,220,800,advanced,305,33.0,280/260
